"rep","fold","Taxa","observed","predicted"
5,2,"PI 496401",21.2938516538893,56.8665168371272
5,2,"PI 502040",13.1754427217406,36.1202533501214
5,2,"PI 502120",7.61631474631251,30.8104158879055
5,2,"PI 504614",-34.6991415397245,-32.7093792723197
5,3,"PI 158854",93.3876253818025,93.9910050043964
5,3,"PI 162857",87.8557386974058,84.8499479149168
5,3,"PI 262038",-45.3195725080565,-49.0651919648909
5,3,"PI 268586",-14.728322957987,-6.60522624016911
5,3,"PI 268868",91.7512108457322,91.8590675861696
5,3,"PI 270786",90.8506593776961,93.0579246167453
5,3,"PI 319770",5.60792539732361,-29.0066475836096
5,3,"PI 331314",13.7523475204017,-13.5256496865189
5,3,"PI 337399",-48.891681182551,-46.1020686159687
5,3,"PI 343384",3.09862563909943,-12.5597190190874
5,3,"PI 372305",18.3010174031283,58.5399276062676
5,3,"PI 461427",-52.8331073584546,-53.4005968959695
5,3,"PI 471952",-14.2039684045055,-55.5370395937523
5,3,"PI 476025",-11.1103233953259,-11.3776666676843
5,3,"PI 493547",-33.5078715622015,-48.2075548343047
5,3,"PI 493631",-25.0973116550801,-26.9705703315529
5,3,"PI 493938",-15.6332847605169,-31.9712281708527
5,3,"PI 497318",31.7422567795936,18.6781227405497
5,3,"PI 497395",32.1872334414205,18.4988795205305
5,3,"PI 497517",-19.5932911626775,-27.364346583244
5,3,"PI 497639",-10.5806964808468,-11.5332398421902
5,4,"PI 157542",76.5152772600273,84.3075923196947
5,4,"PI 196622",94.484362479052,94.0787943994895
5,4,"PI 196635",91.8808532061868,91.9910276356947
5,4,"PI 200441",-17.4867363486021,-23.0783671955704
5,4,"PI 259617",-49.9702615314471,-51.136728003702
5,4,"PI 268755",-34.6790842345355,-33.5416306077308
5,4,"PI 270998",-1.28088253738996,-10.906794727849
5,4,"PI 288210",14.8949132937833,29.4848691039368
5,4,"PI 292950",93.5519341824262,93.163366628294
5,4,"PI 319768",-3.0947565821953,-3.84912644159016
5,4,"PI 325943",-55.6161781982585,-50.6546325065908
5,4,"PI 337293",-33.1303500962705,-33.7000835110809
5,4,"PI 337406",-15.5986954843422,-14.3626583329759
5,4,"PI 355271",59.3113990135345,81.0078703593304
5,4,"PI 370331",26.0050898783708,48.7362606705536
5,4,"PI 407667",-44.1385440155654,-47.1998463109133
5,4,"PI 408743",-12.8417941895264,-23.6838904298947
5,4,"PI 429420",3.82761765604124,-15.5000361938912
5,4,"PI 468271",20.3866795249287,19.5081650949295
5,4,"PI 475931",7.58481242635805,6.85704851020206
5,4,"PI 494795",8.2364494572083,6.55900117660203
5,5,"PI 159786",91.9795136139364,92.0175510335123
5,5,"PI 162655",-47.4045097307795,-47.2264289934238
5,5,"PI 268806",90.8657621252714,92.0562405800992
